common\lang\lang.xml,cmd_quote_reply,Quote & Reply,aaa
common\lang\lang.xml,cmd_quote,Quote,
common\lang\lang.xml,all,All,
common\lang\lang.xml,cmd_pass_step,Skip this step.,
common\lang\lang.xml,cmd_complete,Done,
common\lang\lang.xml,cmd_go_to_page,Go to page,
common\lang\lang.xml,password3,Retype Password,
common\lang\lang.xml,admin_email_address,Admin Email Address,
common\lang\lang.xml,blog,Blog,
common\lang\lang.xml,layout_instance,Layout instance,
common\lang\lang.xml,blamed_count,Blames,
common\lang\lang.xml,search_results,Search results,
common\lang\lang.xml,msg_empty_search_target,Cannot find the Search target.,
common\lang\lang.xml,msg_empty_search_keyword,Cannot find the Keyword.,
common\lang\lang.xml,comment_to_be_approved,Your comment must be approved by admin before being published.,
common\lang\lang.xml,success_copied,Copied successfully.,
common\lang\lang.xml,fail_to_update,Fail to update.,
common\lang\lang.xml,multilingual_manager,Manage languages,
common\lang\lang.xml,captcha,Captcha,
common\lang\lang.xml,reload,reload,
common\lang\lang.xml,play,play,
common\lang\lang.xml,use_and_display,Use+Display,
common\lang\lang.xml,mobile_view,Mobile View,
common\lang\lang.xml,about_mobile_view,Mobile View will display the best layout when you access the website with your smart phone.,
common\lang\lang.xml,simple_view,Simple View,
common\lang\lang.xml,detail_view,Detail View,
common\lang\lang.xml,actions,Actions,
common\lang\lang.xml,check_all,Check All,
common\lang\lang.xml,first_page,FIRST,
common\lang\lang.xml,last_page,LAST,
common\lang\lang.xml,go,Go,
common\lang\lang.xml,yes,Yes,
common\lang\lang.xml,are_you_sure,Are you sure?,
common\lang\lang.xml,welcome,Welcome,
common\lang\lang.xml,logout,Log out,
common\lang\lang.xml,close,Close,
common\lang\lang.xml,mobile_settings,Mobile settings,
common\lang\lang.xml,cancel_confirm,Are you sure you want to cancel the modifications?,
common\lang\lang.xml,no_records,There are no records.,
common\lang\lang.xml,select_module_type,Module Type,
common\lang\lang.xml,select_module_instance,Module,
common\lang\lang.xml,select_site,Site,
common\lang\lang.xml,back_to_top,Back to top,
common\lang\lang.xml,your_version,Your version,
common\lang\lang.xml,meta_description,Meta description,
common\lang\lang.xml,meta_keywords,Meta Keywords,
modules/addon\lang\lang.xml,addon,Addon,
modules/addon\lang\lang.xml,addon_info,Summary of this Addon,
modules/addon\lang\lang.xml,addon_maker,Author of this Addon,
modules/addon\lang\lang.xml,addon_license,License,
modules/addon\lang\lang.xml,addon_history,Addon History,
modules/addon\lang\lang.xml,about_addon_mid,"Select a target where the added is used.<br />(If you select none, the addon will be used on all targets.)",
modules/addon\lang\lang.xml,about_addon,Addons control many actions performed in your site rather than display HTML results.<br />You can control useful functions simply by switching ON/OFF of addons.,
modules/addon\lang\lang.xml,installed_addons,Installed Add-ons,
modules/addon\lang\lang.xml,about_installed_addon,Check PC and Mobile to switch on the addon.,
modules/addon\lang\lang.xml,fixed,Fixed,
modules/addon\lang\lang.xml,about_fixed,"Check this, and the site administrator cannot change this setting.",
modules/addon\lang\lang.xml,msg_not_exist_option,Configuration for this addon does not exist.,
modules/addon\lang\lang.xml,run_method,How does it work?,
modules/addon\lang\lang.xml,run_selected_module,Used in the selected module.,
modules/addon\lang\lang.xml,no_run_selected_module,Not used in the selected module.,
modules/addon\lang\lang.xml,pc,PC,
modules/addon\lang\lang.xml,mobile,Mobile,
modules/admin\lang\lang.xml,subtitle_primary,Primary,
modules/admin\lang\lang.xml,subtitle_basic,Basic,
modules/admin\lang\lang.xml,subtitle_advanced,Advanced,
modules/admin\lang\lang.xml,subtitle_etc,Others,
modules/admin\lang\lang.xml,current_state,Current state,
modules/admin\lang\lang.xml,latest_documents,Latest Documents,
modules/admin\lang\lang.xml,latest_comments,Latest Comments,
modules/admin\lang\lang.xml,latest_trackbacks,Latest Trackbacks,
modules/admin\lang\lang.xml,notices,Notices,
modules/admin\lang\lang.xml,favorites,Favorites,
modules/admin\lang\lang.xml,admin_info,Administrator Info,
modules/admin\lang\lang.xml,admin_index,Index Admin Page,
modules/admin\lang\lang.xml,control_panel,Dashboard,
modules/admin\lang\lang.xml,about_dashboard,"Using this section you can create, change or update the content of your website",
modules/admin\lang\lang.xml,preview,Preview,
modules/admin\lang\lang.xml,sitemap,Sitemap,
modules/admin\lang\lang.xml,no_favorites,Favorites list is empty. Click to add some,
modules/admin\lang\lang.xml,start_module,Default Module,
modules/admin\lang\lang.xml,about_start_module,Site default module,
modules/admin\lang\lang.xml,select_site,Site,
modules/admin\lang\lang.xml,select_module_type,Module Type,
modules/admin\lang\lang.xml,select_module_instance,Module,
modules/admin\lang\lang.xml,visitors,Visitors,
modules/admin\lang\lang.xml,newest_news,Latest News,
modules/admin\lang\lang.xml,env_setup,Settings,
modules/admin\lang\lang.xml,default_url,Default URL,
modules/admin\lang\lang.xml,about_default_url,"Enter a default URL to be used to control multiple websites, including Karybu installation path. E.g.) http://domain//installation path)",
modules/admin\lang\lang.xml,env_information,Environment Information,
modules/admin\lang\lang.xml,current_version,Current Version,
modules/admin\lang\lang.xml,current_path,Installed Path,
modules/admin\lang\lang.xml,released_version,Latest Version,
modules/admin\lang\lang.xml,about_download_link,New version of Karybu is now available! Please click the download link to get the latest version.,
modules/admin\lang\lang.xml,item_module,Module List,
modules/admin\lang\lang.xml,item_addon,Addon List,
modules/admin\lang\lang.xml,item_widget,Widget List,
modules/admin\lang\lang.xml,item_layout,Layout List,
modules/admin\lang\lang.xml,module_name,Module Name,
modules/admin\lang\lang.xml,addon_name,Addon Name,
modules/admin\lang\lang.xml,version,Version,
modules/admin\lang\lang.xml,table_count,Number of Table,
modules/admin\lang\lang.xml,installed_path,Installed Path,
modules/admin\lang\lang.xml,cmd_shortcut_management,Edit Menu,
modules/admin\lang\lang.xml,msg_is_not_administrator,Administrator Only,
modules/admin\lang\lang.xml,msg_manage_module_cannot_delete,"Shortcuts of module, addon, layout, widget cannot be removed.",
modules/admin\lang\lang.xml,msg_default_act_is_null,Shortcut could not be registered because the default admin Action is not set.,
modules/admin\lang\lang.xml,welcome_to_xe,Welcome to the admin page of Karybu,
modules/admin\lang\lang.xml,about_lang_env,"To set the selected language as the default language, click the Save button.",
modules/admin\lang\lang.xml,xe_license,Karybu complies with the LGPL.,
modules/admin\lang\lang.xml,about_shortcut,You may remove shortcuts of modules which are registered on frequently used module list.,
modules/admin\lang\lang.xml,yesterday,Yesterday,
modules/admin\lang\lang.xml,today,Today,
modules/admin\lang\lang.xml,about_lang_select,Supported language(s),
modules/admin\lang\lang.xml,about_default_lang,Default language,
modules/admin\lang\lang.xml,about_recompile_cache,Delete useless or invalid cache files?,
modules/admin\lang\lang.xml,confirm_run,It may take a long time. Do you want to run?,
modules/admin\lang\lang.xml,use_ssl,Do you want to use Secure Sockets Layer (SSL)?,
modules/admin\lang\lang.xml,about_use_ssl,"Select 'Optional' to use SSL for the specified actions such as signing up and changing information.<br /> 'Always' to use SSL for all services.<br /><span style=""color:red"">If you use SSL in an environment that doesn't support it you won't be able to use the site anymore</span>",
modules/admin\lang\lang.xml,server_ports,Server Port,
modules/admin\lang\lang.xml,about_server_ports,"If your web server does not use 80 for HTTP or 443 for HTTPS port, you should specify server ports.",
modules/admin\lang\lang.xml,use_db_session,Use Session DB,
modules/admin\lang\lang.xml,about_db_session,"This setting will use PHP session used for authentication as DB.<br/>For the Websites which do not use web server frequently, you can uncheck this setting to improve response time.<br/>However, session DB will make it difficult to get current users, so you cannot use related functions.",
modules/admin\lang\lang.xml,qmail_compatibility,Enable Qmail,
modules/admin\lang\lang.xml,sftp,Use SFTP,
modules/admin\lang\lang.xml,ftp_get_list,Get List,
modules/admin\lang\lang.xml,ftp_remove_info,Remove FTP Info.,
modules/admin\lang\lang.xml,msg_ftp_invalid_path,Failed to read the specified FTP Path.,
modules/admin\lang\lang.xml,about_use_ftp_passive_mode,Use FTP Passive Mode?,
modules/admin\lang\lang.xml,about_use_sftp_support,Use SFTP?,
modules/admin\lang\lang.xml,disable_sftp_support,Does Not Use SFTP,
modules/admin\lang\lang.xml,msg_self_restart_cache_engine,Please restart Memcached or cache daemon.,
modules/admin\lang\lang.xml,autoinstall,EasyInstall,
modules/admin\lang\lang.xml,last_week,Last week,
modules/admin\lang\lang.xml,this_week,This week,
modules/admin\lang\lang.xml,trash,Recycle Bin,
modules/admin\lang\lang.xml,accusation,Report,
modules/admin\lang\lang.xml,status,Status,
modules/admin\lang\lang.xml,action,Execute,
modules/admin\lang\lang.xml,select_module_id,Select a module ID.,
modules/admin\lang\lang.xml,use_cdn,Use CDN,
modules/admin\lang\lang.xml,about_use_rewrite,Use rewrite mod (for friendly urls),
modules/admin\lang\lang.xml,about_timezone,Local standard time,
modules/admin\lang\lang.xml,about_html_dtd,Set HTML DTD.,
modules/admin\lang\lang.xml,html5,HTML5,
modules/admin\lang\lang.xml,xhtml_transitional,XHTML 1.0 Transitional,
modules/admin\lang\lang.xml,about_question_mobile_view,Show the mobile page when users access the website with their mobile phone,
modules/admin\lang\lang.xml,about_thumbnail_type,Thumbnail type,
modules/admin\lang\lang.xml,input_footer_script,Footer script,
modules/admin\lang\lang.xml,detail_input_footer_script,The script is inserted into the bottom of body. Manager page does not work.,
modules/admin\lang\lang.xml,corp,Crop(Cut),
modules/admin\lang\lang.xml,ratio,Ratio(Keep Aspect),
modules/admin\lang\lang.xml,about_admin_ip_limit,Sepcify IP address band that can access the admin page.,
modules/admin\lang\lang.xml,local_ip_address,Local IP address,
modules/admin\lang\lang.xml,detail_about_admin_ip_limit,Please note that only the specified IP addresses can access the admin page. The information on IP address band is stored in  /files/config/db.config.php. Change the line to multiple IP.,
modules/admin\lang\lang.xml,detail_about_ftp_info,"When you enter FTP information to enable easy installation.	The information on FTP is stored in files/config/ftp.config.php. If you are unable to easy install, PHP's 'safe_mode' must be changed 'On'",
modules/admin\lang\lang.xml,allow_use_favicon,Favicon?,
modules/admin\lang\lang.xml,about_use_favicon,You can upload 16x16 size<em>*.ico</em> file only.,
modules/admin\lang\lang.xml,allow_use_mobile_icon,Mobile home screen icon,
modules/admin\lang\lang.xml,detail_use_mobile_icon,You can upload 57x57 or 114x114 size<em>*.png</em> file only.,
modules/admin\lang\lang.xml,about_use_sso,Do you want to use Single Sign On (SSO)?,
modules/admin\lang\lang.xml,about_cdn,Check this to get css and js files of Karybu core from CDN.,
modules/admin\lang\lang.xml,about_arrange_session,Do you want to clean up session?,
modules/admin\lang\lang.xml,cmd_clear_session,Clean up session,
modules/admin\lang\lang.xml,msg_not_correct_iconname,Invalid icon type,
modules/admin\lang\lang.xml,msg_possible_only_file,You can only upload files of this type,
modules/admin\lang\lang.xml,save,Save,
modules/admin\lang\lang.xml,view,View,
modules/admin\lang\lang.xml,select,Select,
modules/admin\lang\lang.xml,delete,Delete,
modules/admin\lang\lang.xml,add,Add,
modules/admin\lang\lang.xml,theme_desc,"Theme is a set of skins for modules currently installed including layouts. When you select Theme, 'Skin Setting' is automatically selected. If you don't like some of the theme, you can edit it on 'Skin Setting'.",
modules/admin\lang\lang.xml,selected_theme,Selected Theme,
modules/admin\lang\lang.xml,no_selected_theme_desc,"This is a defult theme specified by the administrator. If you don't specify one, this theme will be shown by default.",
modules/admin\lang\lang.xml,user_define_skin_select_desc,"If you don't like some of the theme, select a skin for yourself. When you select your own skin, 'Theme Setting' is set to 'User Defined'.",
modules/admin\lang\lang.xml,selected_layout,Selected Layout,
modules/admin\lang\lang.xml,selected_skin,Selected %s Skin,
modules/admin\lang\lang.xml,no_selected_skin,No Selected %s Skin,
modules/admin\lang\lang.xml,no_selected_skin_desc,The selected theme has no skin information for this item. Select a skin.,
modules/admin\lang\lang.xml,no_select,No Select,
modules/admin\lang\lang.xml,admin_logo,Admin Page Logo,
modules/admin\lang\lang.xml,admin_title,Admin Page Title,
modules/admin\lang\lang.xml,admin_menu_add,Add Admin Menu,
modules/admin\lang\lang.xml,bug_report,Bug Report,
modules/admin\lang\lang.xml,theme_setting,Theme Setting,
modules/admin\lang\lang.xml,skin_setting,Skin Setting,
modules/admin\lang\lang.xml,msg_thumbnail_not_exist,Thumbnail does not exist,
modules/admin\lang\lang.xml,user_theme,User Theme,
modules/admin\lang\lang.xml,user_define,User Defined,
modules/admin\lang\lang.xml,by_you,By You,
modules/admin\lang\lang.xml,update_available,Update Available,
modules/admin\lang\lang.xml,need_update_and_table,Need to Create DB Table and Update Module,
modules/admin\lang\lang.xml,need_update,Need to Update Module,
modules/admin\lang\lang.xml,need_table,Need to Create DB Table,
modules/admin\lang\lang.xml,admin_menu_setup,Admin Menu Setup,
modules/admin\lang\lang.xml,no_data,There is no data.,
modules/admin\lang\lang.xml,cmd_admin_menu_reset,Reset admin menu,
modules/admin\lang\lang.xml,confirm_reset_admin_menu,Are you sure you want to initialize the admin menu?,
modules/admin\lang\lang.xml,msg_safe_mode_ftp_needed2,Easy installation or update of module is enabled.,
modules/admin\lang\lang.xml,admin_setup,Admin Setup,
modules/admin\lang\lang.xml,subtitle_developer_settings,Developer settings,
modules/admin\lang\lang.xml,debug_debug,Debug,
modules/admin\lang\lang.xml,debug_info,Info,
modules/admin\lang\lang.xml,debug_warning,Warning,
modules/admin\lang\lang.xml,debug_error,Error,
modules/admin\lang\lang.xml,debug_critical,Critical,
modules/admin\lang\lang.xml,debug_alert,Alert,
modules/admin\lang\lang.xml,debug_handler_files,Files,
modules/admin\lang\lang.xml,debug_handler_chrome,Chrome,
modules/admin\lang\lang.xml,debug_handler_firebug,Firebug,
modules/admin\lang\lang.xml,level,Level,
modules/admin\lang\lang.xml,toolbar,Toolbar,
modules/admin\lang\lang.xml,slow_queries_threshold,Slow queries threshold (ms),
modules/admin\lang\lang.xml,handlers,Handlers,
modules/admin\lang\lang.xml,current_environment,Current environment is:,
modules/admin\lang\lang.xml,dev,Development,
modules/admin\lang\lang.xml,prod,Production,
modules/admin\lang\lang.xml,toolbar_disabled_gzip,Debug toolbar cannot be used when gzip compression is enabled,
modules/admin\lang\lang.xml,documents,Documents,
modules/admin\lang\lang.xml,comments,Comments,
modules/admin\lang\lang.xml,trackbacks,Trackbacks,
modules/admin\lang\lang.xml,files,Files,
modules/autoinstall\lang\lang.xml,autoinstall,EasyInstall,
modules/autoinstall\lang\lang.xml,package_update,Recent Update,
modules/autoinstall\lang\lang.xml,package_downloaded_count,Download Count,
modules/autoinstall\lang\lang.xml,order_newest,Newest,
modules/autoinstall\lang\lang.xml,order_popular,Popular,
modules/autoinstall\lang\lang.xml,order_download,Download,
modules/autoinstall\lang\lang.xml,success_installed,Successfully Installed,
modules/autoinstall\lang\lang.xml,description_ftp_note,"If the %s is not set, the installation or update will not work. Pleas configure the FTP information.",
modules/autoinstall\lang\lang.xml,ftp_setup,FTP configuration,
modules/autoinstall\lang\lang.xml,description_update,%s before using EasyInstall.,
modules/autoinstall\lang\lang.xml,status_update,Update extension info,
modules/autoinstall\lang\lang.xml,install,Install,
modules/autoinstall\lang\lang.xml,update,Update,
modules/autoinstall\lang\lang.xml,current_version,Version,
modules/autoinstall\lang\lang.xml,require_update,Update is required.,
modules/autoinstall\lang\lang.xml,require_installation,Installation is required.,
modules/autoinstall\lang\lang.xml,description_install,EasyInstall will also install/update all other programs which this program depends on.,
modules/autoinstall\lang\lang.xml,description_download,"If FTP is unavailable, you should manually download and extract it into the target path. (If the target path is ./modules/board, extract it to ./modules)",
modules/autoinstall\lang\lang.xml,cmd_download,Download,
modules/autoinstall\lang\lang.xml,description_uninstall,"Package will be uninstalled. For modules, all data will be deleted.",
modules/autoinstall\lang\lang.xml,distribute_version,Distribute version,
